B1: B4 (sax) | sweep
B2: A#5 B5 C#5 D5 (sax) | stroke
B3: D5 E5 F#5 G5 (sax) | swish
B4: D5 # (dishpit) | scrape
B5: C#5 D5 E5 F#5 (piano) | sweep
B6: D5 E5 F#5 G#5 (piano) | damp
B7: A4 B4 C#5 D5 (griddle) | sweep
B8: E5 G5 B4 (griddle) | silence
B9: G4 (walk-in) | hold
B10: G4 (walk-in) | hum
B11: G4 (walk-in) | breathe
B12: G4 (walk-in) | rest
B13: G4 (walk-in) | silence
B14: G4 (walk-in) | hiss
B15: G4 (walk-in) | close
WHY: As the night winds down, the instruments and appliances of the kitchen perform their final act of unity, sweeping away the remnants of the night, leaving only the walk-in's G to hold the room together one last time before the building settles into quiet.
